case_id,payment_id,exception_type,true_root_cause,expected_behavior
S115,PAY00020,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S116,PAY00008,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S117,PAY00004,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S118,PAY00008,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S119,PAY00020,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S120,PAY00003,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S121,PAY00019,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S122,PAY00017,REFUND_MISMATCH,REFUND_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S123,PAY00007,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S124,PAY00011,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S125,PAY00013,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S126,PAY00003,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S127,PAY00020,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S128,PAY00004,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S129,PAY00007,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S130,PAY00009,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S131,PAY00003,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S132,PAY00010,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S133,PAY00018,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S134,PAY00010,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S135,PAY00017,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S136,PAY00004,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S137,PAY00004,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S138,PAY00018,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S139,PAY00010,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S140,PAY00007,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S141,PAY00011,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S142,PAY00017,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S143,PAY00009,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S144,PAY00002,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S145,PAY00005,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S146,PAY00009,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S147,PAY00018,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S148,PAY00014,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S149,PAY00001,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S150,PAY00005,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S151,PAY00019,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S152,PAY00005,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S153,PAY00005,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S154,PAY00012,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S155,PAY00007,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S156,PAY00008,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S157,PAY00004,REFUND_MISMATCH,REFUND_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S158,PAY00020,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S159,PAY00005,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S160,PAY00006,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S161,PAY00001,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S162,PAY00014,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S163,PAY00006,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S164,PAY00004,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S165,PAY00002,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S166,PAY00008,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S167,PAY00008,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S168,PAY00007,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S169,PAY00012,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S170,PAY00017,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S171,PAY00001,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S172,PAY00006,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S173,PAY00009,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S174,PAY00020,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S175,PAY00012,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S176,PAY00011,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S177,PAY00020,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S178,PAY00004,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S179,PAY00019,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S180,PAY00002,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S181,PAY00014,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S182,PAY00018,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S183,PAY00014,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S184,PAY00011,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S185,PAY00011,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S186,PAY00004,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S187,PAY00010,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S188,PAY00010,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S189,PAY00013,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S190,PAY00010,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S191,PAY00005,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S192,PAY00013,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S193,PAY00006,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S194,PAY00013,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S195,PAY00010,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S196,PAY00019,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S197,PAY00011,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S198,PAY00015,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S199,PAY00007,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S200,PAY00016,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S201,PAY00006,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S202,PAY00017,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S203,PAY00020,REFUND_MISMATCH,REFUND_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S204,PAY00008,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S205,PAY00010,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S206,PAY00005,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S207,PAY00008,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S208,PAY00020,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S209,PAY00014,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S210,PAY00019,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S211,PAY00016,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S212,PAY00008,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S213,PAY00004,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S214,PAY00008,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S215,PAY00015,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S216,PAY00008,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S217,PAY00005,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S218,PAY00017,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S219,PAY00020,REFUND_MISMATCH,REFUND_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S220,PAY00020,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S221,PAY00017,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S222,PAY00018,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S223,PAY00006,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S224,PAY00016,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S225,PAY00009,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
